unit,state,unit_fe,group,g,year,year_fe,treat,rel_year,rel_year_binned,error,te,te_dynamic,dep_var,weight
1,4,-0.278034493,Group 2,2010,1990,0.066307962,FALSE,-20,-6,1.562251752,0,0,1.350525221,0.567735201
1,4,-0.278034493,Group 2,2010,1991,0.193082745,FALSE,-19,-6,1.520715942,0,0,1.435764194,0.567735201
1,4,-0.278034493,Group 2,2010,1992,0.005199824,FALSE,-18,-6,1.436476643,0,0,1.163641974,0.567735201
1,4,-0.278034493,Group 2,2010,1993,-0.238212024,FALSE,-17,-6,0.763184699,0,0,0.246938182,0.567735201
1,4,-0.278034493,Group 2,2010,1994,1.802747769,FALSE,-16,-6,0.912259089,0,0,2.436972365,0.567735201
1,4,-0.278034493,Group 2,2010,1995,0.237894239,FALSE,-15,-6,0.25509412,0,0,0.214953866,0.567735201
1,4,-0.278034493,Group 2,2010,1996,0.831123939,FALSE,-14,-6,-0.717951177,0,0,-0.164861731,0.567735201
1,4,-0.278034493,Group 2,2010,1997,-0.294087301,FALSE,-13,-6,-0.849164001,0,0,-1.421285795,0.567735201
1,4,-0.278034493,Group 2,2010,1998,-0.519598655,FALSE,-12,-6,0.303880095,0,0,-0.493753054,0.567735201
1,4,-0.278034493,Group 2,2010,1999,1.500385885,FALSE,-11,-6,-1.592350853,0,0,-0.369999462,0.567735201
1,4,-0.278034493,Group 2,2010,2000,-0.066368492,FALSE,-10,-6,0.183043317,0,0,-0.161359669,0.567735201
1,4,-0.278034493,Group 2,2010,2001,-0.691438194,FALSE,-9,-6,0.515178473,0,0,-0.454294214,0.567735201
1,4,-0.278034493,Group 2,2010,2002,-1.108657062,FALSE,-8,-6,-1.59837523,0,0,-2.985066785,0.567735201
1,4,-0.278034493,Group 2,2010,2003,0.344897163,FALSE,-7,-6,0.034639783,0,0,0.101502452,0.567735201
1,4,-0.278034493,Group 2,2010,2004,0.262395849,FALSE,-6,-6,2.345288461,0,0,2.329649816,0.567735201
1,4,-0.278034493,Group 2,2010,2005,-0.13465548,FALSE,-5,-5,-0.264685346,0,0,-0.677375319,0.567735201
1,4,-0.278034493,Group 2,2010,2006,-0.016659146,FALSE,-4,-4,-1.140157846,0,0,-1.434851485,0.567735201
1,4,-0.278034493,Group 2,2010,2007,0.431708457,FALSE,-3,-3,-0.481111398,0,0,-0.327437434,0.567735201
1,4,-0.278034493,Group 2,2010,2008,-0.06017982,FALSE,-2,-2,-1.516145954,0,0,-1.854360267,0.567735201
1,4,-0.278034493,Group 2,2010,2009,-0.727506794,FALSE,-1,-1,-1.957962667,0,0,-2.963503954,0.567735201
1,4,-0.278034493,Group 2,2010,2010,-0.704894376,TRUE,0,0,-0.149262015,2,0,0.867809115,0.567735201
1,4,-0.278034493,Group 2,2010,2011,-0.922383363,TRUE,1,1,0.936883638,2,0,1.736465781,0.567735201
1,4,-0.278034493,Group 2,2010,2012,1.110815968,TRUE,2,2,1.211535135,2,0,4.04431661,0.567735201
1,4,-0.278034493,Group 2,2010,2013,0.415748209,TRUE,3,3,0.564882251,2,0,2.702595967,0.567735201
1,4,-0.278034493,Group 2,2010,2014,0.166954798,TRUE,4,4,-0.479882086,2,0,1.409038219,0.567735201
1,4,-0.278034493,Group 2,2010,2015,1.293896998,TRUE,5,5,-0.337200781,2,0,2.678661723,0.567735201
1,4,-0.278034493,Group 2,2010,2016,-0.982684806,TRUE,6,6,-0.893554919,2,0,-0.154274218,0.567735201
1,4,-0.278034493,Group 2,2010,2017,-0.606342506,TRUE,7,6,-0.505955993,2,0,0.609667009,0.567735201
1,4,-0.278034493,Group 2,2010,2018,1.575609507,TRUE,8,6,0.680324084,2,0,3.977899097,0.567735201
1,4,-0.278034493,Group 2,2010,2019,-1.365993015,TRUE,9,6,1.262566474,2,0,1.618538965,0.567735201
1,4,-0.278034493,Group 2,2010,2020,-0.52075699,TRUE,10,6,0.612531465,2,0,1.813739982,0.567735201
2,39,6.577668032,Group 3,0,1990,-0.585265961,FALSE,Inf,Inf,0.320630818,0,0,6.313032889,0.676151216
2,39,6.577668032,Group 3,0,1991,-0.062744469,FALSE,Inf,Inf,0.202103807,0,0,6.71702737,0.676151216
2,39,6.577668032,Group 3,0,1992,-0.356208871,FALSE,Inf,Inf,1.701758646,0,0,7.923217806,0.676151216
2,39,6.577668032,Group 3,0,1993,0.471033652,FALSE,Inf,Inf,-0.238708874,0,0,6.80999281,0.676151216
2,39,6.577668032,Group 3,0,1994,0.60465191,FALSE,Inf,Inf,-1.25252142,0,0,5.929798522,0.676151216
2,39,6.577668032,Group 3,0,1995,0.69044628,FALSE,Inf,Inf,-0.27615729,0,0,6.991957022,0.676151216
2,39,6.577668032,Group 3,0,1996,0.132448067,FALSE,Inf,Inf,-0.096703495,0,0,6.613412604,0.676151216
2,39,6.577668032,Group 3,0,1997,0.683147572,FALSE,Inf,Inf,-0.452692111,0,0,6.808123493,0.676151216
2,39,6.577668032,Group 3,0,1998,-0.521646916,FALSE,Inf,Inf,1.570905894,0,0,7.626927009,0.676151216
2,39,6.577668032,Group 3,0,1999,-1.077280207,FALSE,Inf,Inf,-0.637643174,0,0,4.86274465,0.676151216
2,39,6.577668032,Group 3,0,2000,-2.199883065,FALSE,Inf,Inf,0.970658257,0,0,5.348443224,0.676151216
2,39,6.577668032,Group 3,0,2001,-0.350623776,FALSE,Inf,Inf,0.614414162,0,0,6.841458417,0.676151216
2,39,6.577668032,Group 3,0,2002,0.37111497,FALSE,Inf,Inf,0.148076507,0,0,7.096859509,0.676151216
2,39,6.577668032,Group 3,0,2003,-2.426329127,FALSE,Inf,Inf,-1.578607914,0,0,2.572730991,0.676151216
2,39,6.577668032,Group 3,0,2004,-0.57697557,FALSE,Inf,Inf,-0.845219654,0,0,5.155472808,0.676151216
2,39,6.577668032,Group 3,0,2005,0.569883196,FALSE,Inf,Inf,-0.135984865,0,0,7.011566363,0.676151216
